Src IP,Dst IP
192.168.1.25,56.55.30.199
192.168.1.25,20.26.55.64
192.168.1.25,208.10.54.11
192.168.1.25,131.227.7.14
192.168.1.214,8.8.8.8
192.168.1.25,206.107.54.64
192.168.1.25,54.182.15.168
192.168.1.25,242.109.102.248
192.168.1.25,212.145.64.129
192.168.1.25,159.25.55.64
192.168.1.211,192.168.1.1
192.168.1.182,10.210.192.108
192.168.1.25,96.125.93.227
192.168.1.25,54.159.25.228
192.168.1.25,93.26.101.89
192.168.1.25,25.11.91.136
192.168.1.25,55.142.213.77
192.168.1.25,191.233.167.168
192.168.1.25,85.227.143.244
192.168.1.25,107.227.190.173
192.168.1.25,161.182.228.72
192.168.1.25,214.161.24.22
192.168.1.25,204.100.32.167
192.168.1.25,208.26.183.64
192.168.1.25,244.85.190.96
192.168.1.25,102.51.138.96
192.168.1.25,216.129.159.51
192.168.1.25,199.146.151.228
192.168.1.25,219.26.91.136
192.168.1.167,199.188.64.12
192.168.1.25,143.208.7.205
192.168.1.25,86.25.107.102
192.168.1.25,96.234.190.22
192.168.1.183,100.21.156.247
192.168.1.25,106.158.190.231
192.168.1.25,171.29.212.107
192.168.1.25,183.131.228.77
192.168.1.25,27.167.209.96
192.168.1.25,125.96.142.226
192.168.1.25,107.206.16.107
192.168.1.25,207.153.159.4
192.168.1.102,239.255.255.250
192.168.1.25,150.127.24.131
192.168.1.25,254.100.196.77
192.168.1.25,55.77.142.30
192.168.1.168,192.168.1.1
192.168.1.102,142.250.138.188
192.168.1.25,55.150.51.244
192.168.1.24,20.25.241.18
192.168.1.25,106.20.131.83
192.168.1.25,32.159.234.108
192.168.1.25,7.180.171.143
192.168.1.25,208.254.11.72
192.168.1.25,173.198.53.125
192.168.1.25,51.107.65.253
192.168.1.25,208.171.183.30
192.168.1.211,192.168.1.1
192.168.1.11,34.117.13.189
192.168.1.214,8.8.8.8
192.168.1.25,219.228.77.74
192.168.1.182,10.210.175.191
192.168.1.25,26.143.213.228
192.168.1.211,192.168.1.1
192.168.1.211,192.168.1.1
192.168.1.25,191.182.227.131
192.168.1.214,8.8.8.8
192.168.1.25,100.122.228.107
192.168.1.25,131.248.22.191
192.168.1.214,8.8.8.8
192.168.1.25,199.142.96.64
192.168.1.211,192.168.1.1
192.168.1.211,192.168.1.1
192.168.1.25,168.254.208.26
192.168.1.25,55.72.182.227
192.168.1.25,63.214.20.146
192.168.1.25,184.244.17.109
192.168.1.25,202.83.4.11
192.168.1.25,180.114.150.173
192.168.1.25,51.225.96.143
192.168.1.81,18.214.52.141
192.168.1.25,93.55.51.16
192.168.1.25,56.202.225.212
192.168.1.25,77.182.182.208
192.168.1.25,146.131.167.239
192.168.1.25,7.218.30.166
192.168.1.25,124.45.138.168
192.168.1.25,160.118.234.186
192.168.1.214,8.8.8.8
192.168.1.25,202.225.53.25
192.168.1.25,22.32.4.225
192.168.1.25,54.51.225.226
192.168.1.25,142.225.135.49
192.168.1.25,55.51.204.51
192.168.1.25,22.184.131.51
192.168.1.25,184.167.158.202
192.168.1.25,158.208.239.171
192.168.1.25,1.214.227.106
18.173.129.67,192.168.1.43
54.156.230.89,192.168.1.81
192.168.1.25,107.29.69.32
192.168.1.25,29.64.212.219
192.168.1.25,131.101.202.10
192.168.1.25,159.244.125.244
192.168.1.25,37.207.206.244
192.168.1.25,254.96.168.41
192.168.1.25,131.143.218.83
192.168.1.214,8.8.8.8
192.168.1.25,136.63.55.115
192.168.1.25,202.225.159.107
192.168.1.25,182.199.190.228
192.168.1.112,239.255.255.250
192.168.1.25,53.55.25.159
192.168.1.25,53.7.173.11
192.168.1.172,157.240.241.20
192.168.1.25,51.191.234.64
192.168.1.211,192.168.1.1
192.168.1.25,77.11.158.129
192.168.1.25,201.20.131.100
192.168.1.211,192.168.1.1
192.168.1.25,106.228.115.32
192.168.1.25,170.145.228.77
192.168.1.25,49.202.64.103
192.168.1.81,239.255.255.250
192.168.1.25,57.244.22.199
192.168.1.1,192.168.1.9
192.168.1.25,81.101.226.184
192.168.1.9,142.250.80.67
192.168.1.25,83.20.25.241
192.168.1.25,131.228.30.239
192.168.1.25,180.227.114.184
192.168.1.25,26.244.159.182
192.168.1.25,55.226.162.26
